Object ID,Circularity Factor ,Total Intensity GFP,Mean Intensity GFP,Total Intensity mCherry,Mean Intensity mCherry,Total Intensity Brightfield,Mean Intensity Brightfield,Position ,Area ,Well ,Parent Object ID (Well),Parent Trace ID,R01,strain
8112,1.1402537,2227728.0,2238.9226,2744048.0,2757.8372,56984940.0,57271.297,1,995,6,5,-1,1,1
7842,1.0307768,2312720.0,1886.3948,2901120.0,2366.3296,67816768.0,55315.469,1,1226,6,5,-1,1,1
9968,1.1157325,1779664.0,2133.8896,2395872.0,2872.7483,46940684.0,56283.793,1,834,7,6,-1,1,1
9667,1.0681322,2246192.0,2127.0757,2828032.0,2678.0605,55694892.0,52741.375,1,1056,7,6,-1,1,1
8694,1.1068812,1955328.0,2113.8682,2704592.0,2923.8833,50970604.0,55103.355,1,925,6,5,-1,1,1
7139,1.0326348,1852288.0,1917.4824,2347568.0,2430.1946,56784464.0,58783.09,1,966,6,5,-1,1,1
7795,1.0489713,705376.0,1886.0321,937359.94,2506.3101,21938002.0,58657.758,1,374,6,5,-1,1,1
7971,1.0749581,2437744.0,2117.9358,3634912.0,3158.0469,64249160.0,55820.297,1,1151,6,5,-1,1,1
10090,1.0725667,1805503.9,2196.4768,2492416.0,3032.1362,48222188.0,58664.461,1,822,7,6,-1,1,1
9564,1.1297752,1086592.0,1755.399,1187584.0,1918.5525,38303720.0,61880.0,1,619,7,6,-1,1,1
8253,1.0345694,1927999.9,2125.689,2752592.0,3034.8313,54432920.0,60014.246,1,907,6,5,-1,1,1
7810,1.0463446,1689008.0,1885.0536,2071984.0,2312.4822,53657776.0,59885.91,1,896,6,5,-1,1,1
12272,1.0770256,970816.0,2026.7557,1207440.0,2520.7515,25912288.0,54096.633,1,479,8,7,-1,1,1
7592,1.0222542,1481216.0,1886.8994,1922528.0,2449.0803,45533388.0,58004.316,1,785,6,5,-1,1,1
11682,1.0633194,597856.0,1833.9141,720912.0,2211.3865,17757762.0,54471.66,1,326,8,7,-1,1,1
7353,1.1341409,592784.0,1818.3558,748880.0,2297.178,18292040.0,56110.551,1,326,6,5,-1,1,1
11574,1.0768737,1630880.0,1964.9156,2169040.0,2613.3013,46614056.0,56161.516,1,830,8,7,-1,1,1
11427,1.0315572,2016304.1,1756.3624,2295360.0,1999.4425,66766896.0,58159.316,1,1148,8,7,-1,1,1
10353,1.0446773,1697152.0,2049.7004,2325168.0,2808.1738,44565116.0,53822.602,1,828,8,7,-1,1,1
9775,1.0661032,1757567.9,2368.6899,2202464.0,2968.2803,42728048.0,57584.969,1,742,7,6,-1,1,1
10139,1.081854,2401536.0,2254.9634,3305904.0,3104.1353,61162304.0,57429.395,1,1065,7,6,-1,1,1
8853,1.036427,1660240.0,2181.6558,2291616.0,3011.322,43559552.0,57239.887,1,761,7,6,-1,1,1
8956,1.0318261,1394832.0,1948.0894,1692352.0,2363.6201,42021144.0,58688.75,1,716,7,6,-1,1,1
8140,1.033809,1672287.9,2171.8025,2318480.0,3011.0129,41922908.0,54445.336,1,770,6,5,-1,1,1
10711,1.0445785,3359296.2,2112.7649,4045184.0,2544.1409,88707048.0,55790.594,1,1590,8,7,-1,1,1
7599,1.0522398,3173264.0,1937.2797,3985104.0,2432.9084,83567704.0,51018.133,1,1638,6,5,-1,1,1
8835,1.0339799,2744432.0,2055.7544,3399168.2,2546.1934,76716928.0,57465.863,1,1335,7,6,-1,1,1
9917,1.0665601,1785888.0,2143.9231,2628336.0,3155.2654,48339560.0,58030.684,1,833,7,6,-1,1,1
8920,1.0320619,3328335.8,2121.3103,4331264.0,2760.5251,92535536.0,58977.395,1,1569,7,6,-1,1,1
9545,1.0884426,3710016.0,2137.106,5181200.0,2984.5623,93572560.0,53901.242,1,1736,7,6,-1,1,1
12241,1.0461915,1205728.0,1986.3723,2049232.0,3376.0,34612512.0,57022.262,1,607,8,7,-1,1,1
8563,1.0816477,1869184.0,1869.184,2040336.0,2040.3361,56024300.0,56024.301,1,1000,6,5,-1,1,1
10394,1.0663874,1814752.0,2100.4075,2585888.0,2992.926,48417824.0,56039.148,1,864,8,7,-1,1,1
10168,1.0196353,2191824.0,2054.1931,2713184.0,2542.8154,62704224.0,58766.844,1,1067,7,6,-1,1,1
7438,1.0567278,1659744.0,2074.6799,2388848.0,2986.0601,43484056.0,54355.07,1,800,6,5,-1,1,1
8964,1.0282515,1757567.9,2202.4661,2561904.0,3210.406,44984968.0,56372.141,1,798,7,6,-1,1,1
12025,1.0619282,2059744.1,2099.6372,2770720.0,2824.3833,53774412.0,54815.914,1,981,8,7,-1,1,1
11067,1.063211,1783216.0,1917.4365,2202864.0,2368.6709,54408624.0,58503.898,1,930,8,7,-1,1,1
